name,iau_name,salt_x1,salt_x1_err,salt_c,salt_c_err,rbtl_av,rbtl_av_err,rbtl_dm,rbtl_dm_err,xi_1,xi_2,xi_3,dm_residuals_twins,dm_residuals_salt,mask_twins,mask_salt
SN2009hs,SN2009hs,-2.5946212028343307,0.11783322541705044,0.09990620140790085,0.03226782732871403,0.6762766144387466,0.01193293350099851,0.14042866508108973,0.07946562732216696,1.6307650250944328,-4.465691740658181,0.5864083495183864,0.16993333186791684,0.3321464863919088,False,False
SN2009ig,SN2009ig,0.9781617257363084,0.04788544237047354,0.0038440187000989834,0.02544005834727403,-0.06530057030804451,0.012090354143807509,-0.0947567910883757,0.2713291652704779,-1.9423411662205836,1.600887025760475,-2.4508538134272384,-0.04799873032097712,-0.03394822245059359,False,False
SN2010dt,SN2010dt,0.039809926576596766,0.11984585883975996,-0.07385487816269787,0.02867741914993599,-0.11314410995259994,0.01213021999336634,0.02052706745863173,0.042306056843803,-0.37272395967866223,-1.512195689134548,1.3300116047841264,-0.01879800748797852,0.055550576388207595,True,True
SN2010ex,SN2010ex,0.5435159494026145,0.1455061899191037,-0.07376681194765544,0.028792056046460512,-0.19288513050888498,0.011960902871688026,0.2505449024982325,0.10092022022623671,-0.08458742676869477,0.7661906561355692,-0.39333314105491923,0.25049264905767143,0.2656791554612177,True,True
SN2010kg,SN2010kg,-1.445211140718186,0.646562800251163,0.07725896873113869,0.038755511563088096,0.3197665319124792,0.012251637529863794,-0.15774695758230567,0.134584638869384,-4.3184699362329635,1.29708945790011,-2.1077290831881488,-0.0743729602124289,-0.14279670073389283,False,False
SN2011ay,SN2011ay,-1.1044895311413203,0.17574859838790946,0.45258054570544215,0.03540586283414349,1.1371222627315498,0.012098309457415074,-0.5266517441850269,0.10268295637336204,6.457162096891123,4.89161462222855,2.831809960285952,-0.0920507090619811,-0.28357347918920084,False,False
SN2012cu,SN2012cu,0.18564646544072616,0.1043392902942335,1.0360455339447223,0.030574017209177073,2.771933263288364,0.012069325823486562,-0.21614747374661106,0.47522953679947266,1.8574569663567648,0.03478848128709397,-0.2578616230030502,0.15968489773748093,0.8232741861258823,False,False
SN2012fr,SN2012fr,0.9190291921188898,0.08442045854671054,-0.05431438870894634,0.02677113719329971,-0.2724342748540661,0.012226140098831424,-0.36905655320880426,0.42315729136865826,-2.2164731170255103,2.008117505187381,-1.7005863551959057,-0.3668716357694588,-0.43269122857386577,False,False
SNBOSS38,SNBOSS38,1.4419367231632592,0.08564454279656442,0.14610707812570456,0.02806475601943903,0.3211372177290565,0.011317656141542988,-0.2821201875766648,0.22996127019438672,2.5483305135137244,-2.2517938320495516,-1.7611393391123773,-0.2389335092281222,0.02657254768655548,False,False
SNF20050728-006,SNF20050728-006,0.46369244242690044,0.3135336842537031,0.1168073535786407,0.03479327995488224,0.2756850475749572,0.013771722018555109,-0.09446673965508341,0.03929710080761836,-0.9372775734300518,-0.5565387440585684,0.3392524256387125,-0.08458967468206328,0.07799868073220573,True,True
SNF20050729-002,SNF20050729-002,0.9191778137885578,0.3392196144023467,-0.10650107110002582,0.03775934849475915,-0.25999773611004906,0.01809954144097773,0.128447079363974,0.03015946528581522,0.6212742771228899,-0.5363246614997796,0.15209491172562875,0.1039503037959223,0.19614769543894273,False,False
SNF20050821-007,SNF20050821-007,0.42157677240695257,0.2925278272811518,-0.04333908488391991,0.036082114838752566,-0.20493897002770808,0.013883284553056395,0.02938915038379678,0.03950884291120325,-2.5804630555128076,2.820656326633123,0.3550733079232296,-0.005216599941389188,-0.016062029074503492,True,True
SNF20050927-005,SNF20050927-005,0.1936456671026825,0.34529582461407227,0.01785352462583889,0.035431370015462815,0.03312500243258741,0.014327838322405567,0.30092387249748376,0.056245217195408315,-0.17575971741145283,-1.6876838644034655,1.2207594658553576,0.2824555947663384,0.3385473233484948,False,False
SNF20051003-004,SNF20051003-004,1.1608827160658919,0.15963962716670999,-0.09966729524816476,0.02966703127038567,-0.34919966589478324,0.013369533305762918,0.07114935881488457,0.06540229729566054,2.029739255458577,0.4890408991582134,-1.4625612674812054,0.06808744438476547,0.076629880178122,True,True
SNF20060511-014,SNF20060511-014,-0.775872841182137,0.18225614170661597,-0.04085945817121761,0.03474063907104208,-0.030432601638596513,0.013347312353138734,0.03730027892782241,0.04801338052382334,-0.3963983891916221,-1.8280807772382608,1.5009685908386956,0.003240428572296436,-0.04479465693187912,True,True
SNF20060512-001,SNF20060512-001,0.3996548464994394,0.1449195067610649,-0.007347509451234968,0.02951491837253284,0.04582694581950358,0.011959823922656156,-0.096327217411004,0.05680200240361748,1.8102584747384365,2.583916561771514,2.1794439630292404,0.14078541252232205,-0.012132888429116306,True,True
SNF20060512-002,SNF20060512-002,-0.26407680536280864,0.2327653768211535,0.08561848447104214,0.032869546548955575,0.07879556988549422,0.014596697764151994,-0.19701945042257288,0.04459449320761605,-1.9929875232747325,1.0801003924463748,-1.4105253222884304,-0.15276913430820346,-0.3717398742044047,False,False
SNF20060521-001,SNF20060521-001,-1.6287730864464827,0.28911792101269373,-0.11120495381149265,0.035523639132651885,-0.05654983501219507,0.013063721127533599,0.04715100533493215,0.03404238698633966,1.2375399491849692,-2.2417730344887423,-0.49652498443236276,-0.0018033754837585708,-0.022131146756349196,True,True
SNF20060521-008,SNF20060521-008,-1.3462364614325537,0.31925850656027066,0.1215888173537154,0.042467703400797197,0.4037703303396134,0.016336608359294565,-0.2056895525886294,0.04112755963207483,-3.9163609790317704,-0.46587380108673465,-1.6036561037626038,-0.1348902598617871,-0.22184757308194136,False,False
SNF20060526-003,SNF20060526-003,0.296337752648558,0.2496962716716915,-0.01764674612378503,0.031493963564651506,-0.051287362204238546,0.012771007845982323,-0.027197283810654355,0.02981990667558965,-0.22356982984834373,0.7618735259389808,-0.46517026494865066,-0.018314999420459086,0.0017908479163928348,True,True
SNF20060530-003,SNF20060530-003,1.3697709185367746,0.20034890425327667,-0.04164344026546618,0.030687402520451212,-0.26815019654665784,0.016534385441201213,-0.05738486163460946,0.04060110069893064,-1.3681215607764916,1.5648624742889718,-2.242445254465481,-0.040217266205112484,-0.023673559940451838,False,False
